X_实时推理GPU需求_等效GPU,Y_实时推理执行时长_分钟,X_批量推理GPU需求_等效GPU,Y_批量推理执行时长_分钟,X_AI训练GPU需求_等效GPU,Y_AI训练执行时长_分钟
1,359,21.0,352.0,126.0,226.0
3,388,15.0,120.0,101.0,167.0
2,202,16.0,255.0,25.0,322.0
7,225,9.0,274.0,45.0,166.0
5,333,13.0,393.0,107.0,303.0
3,76,19.0,306.0,45.0,149.0
7,134,4.0,300.0,83.0,27.0
3,196,22.0,247.0,111.0,239.0
3,53,13.0,313.0,35.0,174.0
1,307,21.0,229.0,95.0,111.0
1,94,12.0,25.0,93.0,132.0
1,263,18.0,379.0,23.0,392.0
4,194,16.0,330.0,83.0,175.0
1,142,14.0,134.0,17.0,311.0
6,359,7.0,357.0,80.0,212.0
3,307,8.0,210.0,43.0,92.0
7,64,17.0,309.0,87.0,247.0
7,110,10.0,18.0,38.0,198.0
2,295,15.0,146.0,50.0,183.0
6,357,18.0,42.0,99.0,207.0
2,166,18.0,235.0,99.0,251.0
3,125,23.0,252.0,124.0,216.0
2,346,7.0,371.0,30.0,92.0
6,392,13.0,101.0,122.0,80.0
2,45,4.0,184.0,101.0,292.0
7,329,22.0,65.0,46.0,123.0
5,270,21.0,256.0,97.0,26.0
1,195,7.0,310.0,102.0,253.0
4,181,15.0,109.0,110.0,15.0
1,62,16.0,58.0,27.0,198.0
6,13,19.0,56.0,82.0,257.0
1,160,9.0,332.0,78.0,91.0
7,195,8.0,159.0,46.0,142.0
1,381,18.0,63.0,96.0,141.0
7,151,9.0,140.0,120.0,45.0
5,208,4.0,321.0,51.0,58.0
6,225,21.0,300.0,38.0,363.0
6,257,7.0,367.0,123.0,105.0
4,57,23.0,236.0,41.0,42.0
6,140,10.0,259.0,97.0,157.0
3,57,19.0,346.0,22.0,323.0
7,364,23.0,218.0,25.0,115.0
7,69,11.0,269.0,41.0,133.0
7,189,14.0,157.0,96.0,17.0
7,16,19.0,272.0,84.0,312.0
2,189,11.0,301.0,117.0,187.0
6,324,14.0,95.0,65.0,183.0
5,358,14.0,235.0,68.0,139.0
3,364,7.0,257.0,89.0,115.0
4,363,12.0,202.0,19.0,209.0
6,187,14.0,290.0,85.0,56.0
2,96,18.0,34.0,55.0,272.0
1,317,22.0,20.0,59.0,206.0
5,32,13.0,319.0,42.0,302.0
1,358,16.0,328.0,21.0,338.0
1,344,12.0,72.0,44.0,357.0
7,260,19.0,261.0,81.0,258.0
4,138,9.0,222.0,39.0,189.0
3,329,11.0,240.0,83.0,147.0
5,78,6.0,239.0,123.0,249.0
5,360,14.0,360.0,72.0,134.0
7,120,16.0,305.0,120.0,150.0
7,225,13.0,66.0,71.0,103.0
2,381,18.0,79.0,113.0,269.0
5,222,7.0,256.0,119.0,110.0
7,230,18.0,245.0,72.0,244.0
3,36,4.0,266.0,86.0,163.0
1,219,10.0,87.0,115.0,116.0
2,392,18.0,376.0,88.0,126.0
1,334,21.0,306.0,64.0,116.0
6,292,5.0,158.0,41.0,396.0
5,320,15.0,55.0,46.0,282.0
1,12,7.0,153.0,71.0,107.0
1,138,14.0,335.0,46.0,240.0
1,346,15.0,61.0,44.0,386.0
6,238,22.0,183.0,68.0,305.0
4,293,22.0,391.0,100.0,180.0
4,214,7.0,115.0,47.0,330.0
6,303,11.0,143.0,42.0,380.0
6,156,4.0,388.0,56.0,189.0
5,159,21.0,345.0,100.0,36.0
1,120,17.0,240.0,76.0,208.0
3,149,22.0,192.0,19.0,222.0
5,20,6.0,324.0,27.0,253.0
7,387,22.0,311.0,17.0,248.0
2,70,13.0,69.0,125.0,375.0
7,43,16.0,311.0,32.0,119.0
1,90,7.0,188.0,47.0,64.0
3,196,8.0,310.0,95.0,31.0
1,295,15.0,158.0,55.0,14.0
6,44,9.0,244.0,81.0,269.0
5,344,16.0,284.0,65.0,249.0
3,145,10.0,168.0,17.0,278.0
2,122,16.0,241.0,86.0,294.0
3,299,17.0,59.0,105.0,92.0
3,221,5.0,45.0,31.0,107.0
1,198,14.0,346.0,40.0,384.0
2,275,10.0,320.0,72.0,398.0
7,242,8.0,208.0,90.0,146.0
3,258,7.0,62.0,26.0,370.0
5,207,15.0,223.0,120.0,39.0
1,340,11.0,373.0,35.0,58.0
2,317,6.0,336.0,62.0,110.0
4,325,12.0,240.0,31.0,101.0
5,342,6.0,231.0,79.0,383.0
1,302,15.0,108.0,52.0,21.0
5,123,17.0,164.0,53.0,114.0
5,283,7.0,65.0,52.0,41.0
4,342,15.0,211.0,19.0,105.0
1,29,22.0,397.0,25.0,372.0
7,172,5.0,278.0,71.0,380.0
2,54,10.0,373.0,97.0,91.0
6,216,12.0,304.0,74.0,169.0
2,308,22.0,310.0,30.0,144.0
3,92,21.0,35.0,48.0,302.0
5,392,6.0,48.0,123.0,75.0
1,231,17.0,220.0,24.0,230.0
7,72,9.0,340.0,117.0,287.0
3,215,13.0,168.0,114.0,272.0
6,399,5.0,311.0,28.0,173.0
1,221,11.0,213.0,38.0,253.0
3,64,7.0,116.0,37.0,293.0
6,113,7.0,24.0,109.0,323.0
1,320,17.0,206.0,110.0,270.0
1,87,14.0,316.0,92.0,56.0
1,30,8.0,24.0,34.0,380.0
3,241,7.0,31.0,23.0,278.0
5,146,11.0,48.0,37.0,178.0
6,362,19.0,126.0,25.0,157.0
4,123,4.0,393.0,100.0,370.0
1,136,9.0,178.0,124.0,232.0
3,227,16.0,137.0,120.0,343.0
2,315,15.0,155.0,54.0,162.0
5,350,10.0,101.0,98.0,299.0
1,23,22.0,218.0,111.0,128.0
3,318,22.0,38.0,57.0,256.0
2,384,22.0,342.0,116.0,93.0
4,242,16.0,22.0,67.0,387.0
5,173,22.0,365.0,45.0,219.0
6,26,4.0,78.0,121.0,204.0
3,335,23.0,309.0,75.0,371.0
1,346,18.0,231.0,118.0,75.0
2,144,19.0,27.0,84.0,305.0
7,229,20.0,317.0,115.0,177.0
2,326,12.0,292.0,84.0,327.0
5,193,8.0,81.0,117.0,85.0
6,280,13.0,265.0,58.0,239.0
4,357,16.0,170.0,82.0,306.0
1,291,9.0,381.0,76.0,397.0
5,366,19.0,32.0,126.0,74.0
2,123,21.0,142.0,17.0,309.0
6,125,13.0,128.0,46.0,122.0
1,11,15.0,129.0,85.0,281.0
4,397,21.0,272.0,29.0,333.0
3,84,7.0,339.0,38.0,157.0
1,19,17.0,348.0,32.0,132.0
3,298,11.0,184.0,49.0,319.0
1,320,11.0,362.0,127.0,180.0
6,93,12.0,73.0,16.0,399.0
2,81,9.0,298.0,77.0,151.0
3,282,19.0,379.0,122.0,210.0
2,344,9.0,369.0,80.0,347.0
2,396,19.0,389.0,54.0,162.0
6,372,4.0,235.0,95.0,188.0
4,29,22.0,47.0,78.0,334.0
3,301,19.0,270.0,56.0,352.0
1,37,10.0,187.0,45.0,65.0
1,45,6.0,86.0,65.0,104.0
7,285,23.0,122.0,68.0,185.0
1,55,9.0,216.0,19.0,348.0
4,96,8.0,351.0,90.0,347.0
1,158,10.0,300.0,100.0,220.0
6,23,23.0,127.0,68.0,73.0
4,82,10.0,58.0,53.0,21.0
7,125,15.0,230.0,44.0,96.0
7,179,9.0,184.0,72.0,37.0
2,166,8.0,179.0,56.0,136.0
6,273,22.0,200.0,109.0,394.0
6,288,21.0,60.0,69.0,121.0
5,315,13.0,21.0,106.0,92.0
6,308,10.0,226.0,106.0,308.0
6,39,23.0,76.0,102.0,84.0
2,221,11.0,224.0,28.0,93.0
3,81,15.0,52.0,86.0,318.0
6,229,15.0,352.0,45.0,252.0
7,126,11.0,261.0,61.0,41.0
5,22,21.0,383.0,23.0,284.0
7,96,5.0,173.0,43.0,316.0
4,34,23.0,282.0,93.0,347.0
1,61,19.0,146.0,61.0,299.0
4,375,10.0,216.0,22.0,32.0
1,256,13.0,27.0,41.0,387.0
2,52,15.0,160.0,104.0,117.0
2,135,21.0,294.0,90.0,206.0
5,137,9.0,16.0,107.0,163.0
3,336,7.0,316.0,119.0,198.0
6,366,10.0,118.0,124.0,310.0
3,231,20.0,325.0,76.0,304.0
7,228,12.0,241.0,46.0,225.0
2,42,20.0,146.0,30.0,335.0
6,287,14.0,301.0,127.0,52.0
6,180,8.0,175.0,36.0,86.0
3,386,8.0,278.0,124.0,97.0
7,263,16.0,72.0,53.0,276.0
1,187,19.0,85.0,108.0,73.0
7,294,21.0,329.0,59.0,377.0
2,352,15.0,114.0,105.0,146.0
5,370,21.0,17.0,125.0,379.0
7,75,22.0,96.0,22.0,384.0
3,314,18.0,322.0,101.0,130.0
1,46,10.0,53.0,112.0,112.0
2,346,16.0,374.0,79.0,79.0
7,320,19.0,267.0,118.0,252.0
4,253,16.0,204.0,61.0,299.0
7,266,12.0,53.0,73.0,131.0
7,230,14.0,124.0,102.0,140.0
1,196,14.0,294.0,121.0,18.0
3,77,18.0,14.0,127.0,389.0
4,301,5.0,205.0,109.0,311.0
7,38,17.0,145.0,31.0,199.0
4,247,21.0,359.0,68.0,279.0
5,53,23.0,242.0,59.0,256.0
7,296,18.0,113.0,49.0,288.0
3,25,6.0,333.0,51.0,261.0
3,282,11.0,379.0,91.0,118.0
1,332,8.0,369.0,81.0,345.0
2,255,21.0,23.0,92.0,18.0
7,221,9.0,112.0,81.0,388.0
5,269,20.0,344.0,124.0,144.0
3,383,23.0,265.0,101.0,236.0
5,34,13.0,55.0,19.0,29.0
3,347,23.0,375.0,45.0,45.0
5,290,6.0,252.0,109.0,129.0
2,369,21.0,192.0,63.0,74.0
3,360,13.0,32.0,96.0,188.0
2,89,4.0,390.0,78.0,354.0
6,145,18.0,347.0,100.0,362.0
1,26,8.0,379.0,21.0,28.0
7,215,13.0,28.0,30.0,196.0
5,321,10.0,161.0,60.0,172.0
1,257,10.0,31.0,73.0,66.0
3,80,18.0,176.0,29.0,291.0
5,370,8.0,271.0,64.0,368.0
4,352,5.0,133.0,24.0,193.0
3,227,8.0,37.0,20.0,376.0
2,19,6.0,376.0,67.0,338.0
6,294,14.0,44.0,126.0,221.0
1,26,18.0,387.0,73.0,243.0
3,314,23.0,42.0,27.0,124.0
3,199,11.0,62.0,26.0,205.0
3,15,18.0,357.0,113.0,156.0
1,183,23.0,239.0,89.0,194.0
6,264,19.0,105.0,114.0,341.0
5,224,21.0,16.0,61.0,165.0
2,81,10.0,373.0,67.0,387.0
2,20,20.0,26.0,127.0,91.0
1,268,16.0,181.0,72.0,302.0
5,105,21.0,328.0,31.0,12.0
6,101,11.0,365.0,80.0,69.0
6,15,5.0,290.0,23.0,169.0
6,399,13.0,282.0,35.0,329.0
5,175,12.0,15.0,79.0,367.0
6,130,20.0,292.0,90.0,295.0
3,383,21.0,191.0,102.0,200.0
6,102,15.0,23.0,112.0,343.0
4,157,15.0,261.0,55.0,384.0
1,164,9.0,339.0,30.0,299.0
5,231,18.0,272.0,77.0,218.0
6,361,23.0,173.0,86.0,288.0
7,107,11.0,214.0,35.0,318.0
3,98,6.0,291.0,64.0,121.0
4,335,8.0,19.0,36.0,130.0
2,305,11.0,107.0,127.0,194.0
1,309,5.0,333.0,123.0,288.0
6,303,14.0,391.0,94.0,146.0
3,48,10.0,340.0,77.0,273.0
1,197,12.0,257.0,105.0,239.0
1,301,8.0,163.0,92.0,68.0
5,113,22.0,268.0,80.0,308.0
4,162,6.0,320.0,127.0,38.0
5,256,16.0,204.0,30.0,53.0
1,195,23.0,338.0,26.0,165.0
6,224,15.0,241.0,54.0,341.0
1,342,23.0,285.0,96.0,333.0
6,259,5.0,115.0,68.0,92.0
4,153,8.0,211.0,36.0,174.0
2,367,10.0,76.0,55.0,79.0
1,287,16.0,29.0,87.0,36.0
7,163,12.0,305.0,104.0,386.0
7,312,21.0,34.0,65.0,94.0
2,52,7.0,110.0,19.0,99.0
3,279,23.0,139.0,49.0,24.0
7,313,16.0,226.0,124.0,72.0
1,38,20.0,23.0,18.0,88.0
5,151,16.0,75.0,82.0,232.0
6,306,10.0,114.0,29.0,145.0
4,254,5.0,43.0,117.0,119.0
6,14,19.0,247.0,30.0,79.0
3,300,23.0,292.0,69.0,49.0
6,325,22.0,44.0,58.0,55.0
7,258,22.0,254.0,29.0,107.0
1,275,8.0,267.0,73.0,216.0
5,102,5.0,108.0,44.0,163.0
5,38,11.0,322.0,18.0,234.0
1,268,11.0,187.0,41.0,287.0
4,310,8.0,83.0,99.0,32.0
7,386,19.0,384.0,63.0,103.0
1,313,8.0,119.0,102.0,61.0
2,134,12.0,15.0,51.0,147.0
3,270,19.0,109.0,67.0,86.0
1,217,20.0,285.0,21.0,26.0
2,94,21.0,382.0,68.0,290.0
2,62,18.0,151.0,91.0,268.0
7,78,6.0,340.0,126.0,192.0
2,280,6.0,355.0,93.0,361.0
1,139,19.0,100.0,33.0,391.0
2,104,17.0,353.0,92.0,253.0
3,55,8.0,13.0,40.0,208.0
6,127,19.0,209.0,90.0,27.0
7,159,6.0,166.0,41.0,270.0
7,350,12.0,20.0,33.0,142.0
2,170,16.0,337.0,28.0,230.0
6,68,18.0,301.0,50.0,236.0
6,138,4.0,33.0,87.0,74.0
4,260,16.0,382.0,53.0,26.0
1,323,4.0,350.0,18.0,393.0
4,239,22.0,379.0,18.0,56.0
2,27,6.0,331.0,90.0,15.0
2,326,23.0,351.0,76.0,321.0
6,313,14.0,80.0,70.0,360.0
7,218,19.0,266.0,27.0,100.0
4,73,21.0,29.0,44.0,367.0
4,30,14.0,275.0,127.0,218.0
1,121,4.0,27.0,23.0,127.0
7,377,17.0,386.0,79.0,237.0
1,314,16.0,338.0,24.0,208.0
5,332,8.0,318.0,61.0,11.0
1,391,5.0,198.0,119.0,181.0
4,275,20.0,87.0,103.0,393.0
6,33,23.0,34.0,90.0,150.0
6,212,22.0,314.0,108.0,297.0
7,162,17.0,182.0,124.0,145.0
7,188,15.0,112.0,61.0,253.0
3,94,5.0,370.0,18.0,246.0
3,211,19.0,325.0,23.0,280.0
1,10,4.0,278.0,100.0,27.0
7,169,17.0,185.0,57.0,239.0
1,313,14.0,300.0,42.0,82.0
1,297,11.0,264.0,42.0,263.0
5,161,13.0,268.0,116.0,368.0
2,159,17.0,94.0,46.0,202.0
5,339,9.0,218.0,55.0,91.0
3,332,23.0,70.0,117.0,354.0
3,379,6.0,372.0,47.0,319.0
3,307,5.0,381.0,111.0,168.0
6,67,17.0,368.0,48.0,228.0
1,34,8.0,345.0,112.0,205.0
6,85,4.0,54.0,30.0,275.0
2,192,18.0,153.0,101.0,20.0
3,50,5.0,397.0,31.0,375.0
3,233,17.0,49.0,17.0,219.0
4,191,8.0,20.0,60.0,325.0
2,166,18.0,326.0,117.0,380.0
5,260,17.0,331.0,59.0,375.0
7,232,20.0,52.0,68.0,198.0
2,217,21.0,119.0,117.0,397.0
4,180,10.0,264.0,64.0,15.0
6,42,14.0,275.0,42.0,65.0
5,14,18.0,18.0,110.0,77.0
2,355,5.0,381.0,117.0,351.0
6,387,19.0,311.0,25.0,147.0
3,259,14.0,189.0,72.0,249.0
1,294,5.0,162.0,98.0,160.0
7,257,9.0,46.0,83.0,367.0
1,102,8.0,159.0,118.0,355.0
7,138,15.0,271.0,41.0,85.0
3,358,7.0,64.0,88.0,352.0
7,310,11.0,297.0,71.0,199.0
2,165,6.0,180.0,102.0,70.0
1,291,23.0,333.0,114.0,254.0
6,41,20.0,141.0,88.0,366.0
7,287,20.0,31.0,42.0,10.0
2,86,5.0,20.0,61.0,176.0
6,82,23.0,43.0,115.0,394.0
6,254,15.0,107.0,29.0,386.0
6,73,15.0,22.0,54.0,357.0
4,371,11.0,233.0,107.0,27.0
3,332,4.0,330.0,20.0,152.0
2,128,8.0,115.0,25.0,36.0
7,19,11.0,155.0,16.0,221.0
5,142,14.0,347.0,67.0,330.0
3,96,4.0,252.0,82.0,332.0
6,163,21.0,326.0,64.0,263.0
2,291,10.0,145.0,115.0,308.0
7,120,23.0,110.0,44.0,391.0
5,316,8.0,220.0,38.0,174.0
3,35,22.0,97.0,88.0,133.0
6,40,10.0,390.0,62.0,380.0
5,61,21.0,333.0,29.0,94.0
4,139,16.0,320.0,97.0,189.0
1,80,21.0,334.0,87.0,142.0
6,312,17.0,27.0,127.0,134.0
6,343,7.0,31.0,94.0,321.0
4,395,23.0,272.0,112.0,263.0
5,64,16.0,114.0,106.0,89.0
2,314,13.0,40.0,61.0,172.0
4,94,19.0,322.0,72.0,136.0
4,170,8.0,327.0,29.0,257.0
7,63,5.0,85.0,32.0,269.0
5,254,13.0,387.0,18.0,67.0
1,133,22.0,385.0,98.0,157.0
5,121,9.0,34.0,117.0,77.0
2,339,13.0,230.0,90.0,60.0
5,52,9.0,77.0,115.0,289.0
2,380,12.0,208.0,65.0,61.0
7,19,22.0,309.0,50.0,76.0
1,275,6.0,108.0,127.0,225.0
4,14,14.0,40.0,120.0,385.0
1,117,5.0,165.0,73.0,144.0
6,258,6.0,200.0,67.0,11.0
6,16,19.0,14.0,48.0,313.0
6,277,22.0,328.0,97.0,333.0
3,10,10.0,345.0,87.0,192.0
2,273,21.0,109.0,71.0,389.0
3,128,4.0,358.0,57.0,109.0
7,357,18.0,155.0,56.0,51.0
2,211,6.0,323.0,72.0,262.0
7,190,21.0,308.0,27.0,226.0
4,251,6.0,144.0,125.0,209.0
3,303,16.0,194.0,29.0,108.0
1,116,12.0,164.0,63.0,74.0
6,267,21.0,363.0,124.0,397.0
1,28,10.0,263.0,51.0,249.0
6,13,15.0,23.0,88.0,397.0
3,371,13.0,91.0,109.0,397.0
3,236,9.0,99.0,16.0,182.0
1,73,16.0,274.0,67.0,73.0
6,130,4.0,270.0,36.0,345.0
6,216,18.0,308.0,87.0,361.0
7,138,17.0,255.0,86.0,143.0
4,363,17.0,343.0,78.0,48.0
1,335,22.0,143.0,98.0,114.0
1,23,18.0,102.0,48.0,83.0
7,13,6.0,324.0,22.0,387.0
4,255,11.0,387.0,82.0,117.0
4,176,13.0,364.0,27.0,352.0
7,69,8.0,55.0,81.0,281.0
6,92,8.0,367.0,103.0,389.0
2,35,19.0,334.0,24.0,249.0
4,123,18.0,265.0,45.0,262.0
2,389,19.0,138.0,31.0,183.0
5,311,9.0,360.0,60.0,59.0
3,206,9.0,312.0,82.0,351.0
6,366,12.0,203.0,71.0,246.0
4,62,9.0,355.0,76.0,321.0
4,94,16.0,302.0,31.0,97.0
2,134,5.0,336.0,87.0,248.0
2,224,8.0,339.0,77.0,59.0
1,211,16.0,203.0,119.0,250.0
1,367,21.0,387.0,100.0,394.0
4,198,15.0,176.0,76.0,122.0
6,217,15.0,210.0,39.0,377.0
5,70,13.0,221.0,36.0,304.0
5,73,5.0,377.0,41.0,191.0
4,371,23.0,225.0,96.0,219.0
3,205,9.0,150.0,64.0,75.0
4,215,22.0,331.0,94.0,82.0
7,45,21.0,176.0,83.0,335.0
2,231,14.0,279.0,115.0,385.0
7,283,11.0,155.0,122.0,246.0
7,236,17.0,262.0,42.0,45.0
6,396,11.0,245.0,113.0,130.0
5,319,15.0,95.0,24.0,344.0
3,348,11.0,166.0,68.0,281.0
3,69,18.0,97.0,81.0,294.0
5,136,21.0,172.0,24.0,75.0
2,323,15.0,101.0,74.0,120.0
7,173,19.0,399.0,45.0,384.0
6,33,17.0,58.0,39.0,192.0
5,59,12.0,176.0,119.0,248.0
1,54,14.0,227.0,18.0,240.0
2,38,11.0,189.0,32.0,109.0
3,225,6.0,245.0,43.0,347.0
4,249,4.0,291.0,104.0,257.0
4,113,16.0,135.0,40.0,186.0
5,94,18.0,241.0,108.0,202.0
2,145,15.0,327.0,74.0,154.0
4,105,6.0,58.0,36.0,253.0
1,291,15.0,256.0,123.0,369.0
6,47,10.0,359.0,127.0,178.0
5,183,8.0,167.0,92.0,288.0
1,71,13.0,339.0,89.0,135.0
4,136,21.0,322.0,16.0,48.0
6,88,21.0,147.0,83.0,389.0
6,192,14.0,324.0,80.0,88.0
2,365,23.0,220.0,54.0,107.0
5,178,21.0,56.0,118.0,55.0
5,270,5.0,239.0,68.0,130.0
2,341,12.0,147.0,87.0,180.0
5,134,7.0,181.0,19.0,251.0
7,169,7.0,133.0,74.0,295.0
7,190,5.0,275.0,33.0,61.0
3,52,14.0,98.0,63.0,389.0
7,36,10.0,326.0,64.0,120.0
2,258,10.0,236.0,97.0,184.0
5,377,11.0,74.0,42.0,160.0
3,236,14.0,242.0,32.0,134.0
4,143,13.0,18.0,107.0,339.0
2,270,17.0,211.0,40.0,315.0
7,291,21.0,178.0,84.0,399.0
7,247,9.0,159.0,78.0,196.0
6,220,14.0,248.0,101.0,202.0
5,319,7.0,189.0,63.0,63.0
2,138,23.0,106.0,35.0,312.0
4,119,11.0,350.0,112.0,170.0
2,354,8.0,350.0,60.0,252.0
3,112,12.0,131.0,19.0,270.0
7,281,20.0,317.0,46.0,31.0
6,326,7.0,347.0,52.0,379.0
3,295,9.0,61.0,108.0,375.0
7,23,19.0,228.0,122.0,384.0
2,256,16.0,24.0,105.0,237.0
1,193,4.0,157.0,74.0,212.0
5,305,7.0,19.0,77.0,254.0
4,272,18.0,397.0,122.0,154.0
6,319,15.0,88.0,101.0,129.0
3,349,17.0,69.0,58.0,296.0
4,348,13.0,252.0,80.0,130.0
2,88,13.0,44.0,34.0,373.0
7,51,18.0,174.0,107.0,395.0
1,70,13.0,14.0,101.0,168.0
1,271,12.0,34.0,98.0,289.0
3,218,10.0,89.0,74.0,115.0
4,371,5.0,267.0,47.0,340.0
1,145,15.0,106.0,88.0,220.0
3,106,5.0,114.0,58.0,306.0
4,30,21.0,258.0,24.0,320.0
5,192,14.0,36.0,21.0,141.0
5,228,18.0,288.0,71.0,222.0
2,86,7.0,81.0,34.0,79.0
5,87,10.0,85.0,87.0,113.0
6,202,21.0,237.0,41.0,374.0
1,154,10.0,372.0,49.0,108.0
2,368,14.0,240.0,91.0,228.0
1,223,19.0,234.0,48.0,193.0
7,175,21.0,107.0,97.0,259.0
5,326,5.0,205.0,62.0,69.0
3,73,12.0,307.0,91.0,164.0
5,298,19.0,288.0,16.0,319.0
3,139,8.0,280.0,40.0,35.0
5,182,23.0,164.0,115.0,55.0
3,316,8.0,244.0,118.0,106.0
4,375,14.0,172.0,99.0,220.0
6,15,14.0,18.0,95.0,24.0
6,56,16.0,342.0,17.0,230.0
4,74,10.0,255.0,17.0,122.0
6,388,9.0,397.0,25.0,246.0
5,217,15.0,211.0,88.0,128.0
7,271,12.0,356.0,32.0,239.0
2,384,19.0,158.0,22.0,258.0
6,213,22.0,20.0,89.0,90.0
4,195,11.0,20.0,67.0,278.0
5,136,19.0,269.0,49.0,370.0
3,391,5.0,176.0,88.0,130.0
5,261,13.0,368.0,34.0,338.0
7,264,7.0,281.0,18.0,207.0
7,318,15.0,360.0,60.0,50.0
4,15,4.0,63.0,70.0,276.0
6,191,16.0,202.0,69.0,315.0
1,220,20.0,37.0,50.0,167.0
7,328,4.0,376.0,125.0,359.0
4,206,4.0,275.0,109.0,25.0
6,359,7.0,180.0,59.0,101.0
1,209,8.0,113.0,108.0,59.0
5,294,7.0,36.0,36.0,266.0
2,179,23.0,351.0,19.0,214.0
3,364,6.0,136.0,105.0,72.0
7,385,18.0,377.0,81.0,342.0
3,72,19.0,230.0,23.0,361.0
2,371,15.0,109.0,58.0,275.0
2,389,15.0,191.0,21.0,35.0
3,126,10.0,53.0,36.0,371.0
7,123,6.0,163.0,116.0,286.0
2,250,23.0,23.0,38.0,200.0
5,37,7.0,12.0,72.0,71.0
2,163,4.0,237.0,109.0,130.0
1,96,9.0,314.0,71.0,350.0
7,301,11.0,328.0,114.0,351.0
4,142,23.0,209.0,38.0,53.0
5,309,8.0,130.0,111.0,141.0
6,26,5.0,121.0,110.0,21.0
1,23,9.0,384.0,78.0,196.0
4,19,18.0,327.0,86.0,163.0
3,156,14.0,19.0,61.0,281.0
7,344,21.0,68.0,105.0,281.0
4,30,4.0,165.0,33.0,86.0
6,175,23.0,338.0,123.0,118.0
6,289,5.0,109.0,93.0,316.0
7,12,4.0,213.0,122.0,40.0
3,157,6.0,77.0,54.0,306.0
7,236,16.0,29.0,85.0,351.0
1,53,22.0,395.0,42.0,127.0
4,99,20.0,203.0,93.0,129.0
4,180,18.0,377.0,30.0,269.0
3,295,17.0,117.0,125.0,31.0
4,39,15.0,67.0,39.0,84.0
1,198,5.0,33.0,89.0,99.0
5,88,23.0,107.0,77.0,188.0
4,261,18.0,309.0,45.0,14.0
1,39,4.0,183.0,66.0,46.0
7,289,14.0,210.0,109.0,310.0
3,351,4.0,228.0,61.0,88.0
2,52,10.0,282.0,56.0,351.0
2,122,17.0,68.0,106.0,236.0
4,94,5.0,178.0,22.0,107.0
2,365,7.0,32.0,43.0,234.0
4,161,5.0,116.0,97.0,151.0
3,303,20.0,208.0,75.0,256.0
1,338,20.0,104.0,34.0,292.0
5,215,22.0,287.0,53.0,98.0
3,309,19.0,78.0,120.0,120.0
6,17,13.0,148.0,79.0,258.0
2,351,18.0,375.0,25.0,156.0
6,381,9.0,158.0,73.0,116.0
2,40,14.0,309.0,109.0,357.0
3,60,12.0,13.0,23.0,16.0
6,278,5.0,135.0,66.0,84.0
5,198,14.0,310.0,17.0,275.0
4,102,10.0,16.0,76.0,218.0
7,189,14.0,286.0,105.0,388.0
3,362,15.0,112.0,91.0,119.0
6,24,18.0,248.0,66.0,367.0
1,61,15.0,57.0,109.0,290.0
3,86,19.0,187.0,88.0,113.0
2,61,13.0,370.0,117.0,344.0
3,389,5.0,380.0,117.0,63.0
2,322,15.0,306.0,44.0,90.0
6,253,15.0,144.0,117.0,194.0
7,134,12.0,260.0,39.0,103.0
1,380,14.0,356.0,43.0,167.0
2,212,19.0,363.0,27.0,178.0
3,191,20.0,364.0,58.0,107.0
6,326,15.0,347.0,113.0,384.0
6,360,14.0,183.0,56.0,25.0
5,209,18.0,283.0,90.0,221.0
3,273,9.0,153.0,112.0,350.0
4,329,11.0,270.0,85.0,208.0
1,256,20.0,263.0,21.0,168.0
2,108,21.0,40.0,109.0,173.0
5,119,20.0,389.0,70.0,51.0
3,266,10.0,358.0,19.0,10.0
6,345,12.0,135.0,61.0,50.0
3,206,10.0,134.0,26.0,305.0
4,369,9.0,184.0,40.0,128.0
7,108,11.0,382.0,18.0,100.0
7,203,16.0,31.0,50.0,256.0
1,313,8.0,258.0,77.0,23.0
5,313,6.0,97.0,65.0,227.0
7,67,15.0,154.0,69.0,180.0
2,251,6.0,207.0,21.0,53.0
1,397,17.0,316.0,106.0,13.0
2,256,15.0,57.0,75.0,177.0
2,214,9.0,245.0,86.0,114.0
1,342,13.0,293.0,74.0,397.0
1,328,22.0,273.0,112.0,95.0
6,26,7.0,112.0,24.0,106.0
4,255,8.0,26.0,111.0,145.0
6,355,22.0,322.0,121.0,52.0
5,384,5.0,131.0,127.0,12.0
7,131,4.0,248.0,30.0,104.0
5,373,20.0,309.0,35.0,65.0
2,77,6.0,337.0,31.0,352.0
7,57,15.0,318.0,126.0,331.0
3,171,15.0,227.0,44.0,262.0
4,104,9.0,231.0,93.0,231.0
7,398,5.0,200.0,101.0,369.0
1,148,9.0,142.0,76.0,243.0
4,213,19.0,215.0,84.0,208.0
1,35,12.0,77.0,39.0,156.0
1,194,23.0,353.0,23.0,230.0
1,126,19.0,162.0,20.0,154.0
2,153,15.0,328.0,37.0,239.0
1,240,8.0,147.0,47.0,157.0
7,393,5.0,127.0,20.0,72.0
5,176,22.0,158.0,61.0,166.0
2,256,23.0,240.0,21.0,265.0
6,152,17.0,21.0,126.0,329.0
6,357,17.0,35.0,85.0,40.0
7,377,23.0,19.0,80.0,284.0
6,31,4.0,294.0,86.0,252.0
1,177,15.0,364.0,115.0,54.0
3,306,5.0,198.0,94.0,394.0
5,162,9.0,80.0,56.0,283.0
5,358,20.0,134.0,49.0,354.0
