X_时间_小时,Y_到达任务数_个,Y_到达GPU需求_等效GPU
2120,23,691
2121,18,624
2122,16,500
2123,20,295
2124,11,246
2125,21,715
2126,15,420
2127,23,533
2128,26,717
2129,23,741
2130,18,532
2131,15,444
2132,27,919
2133,20,397
2134,24,533
2135,22,528
2136,11,181
2137,27,878
2138,20,868
2139,24,994
2140,20,874
2141,19,552
2142,17,423
2143,23,989
2144,16,391
2145,25,618
2146,18,758
2147,14,252
2148,27,979
2149,26,942
2150,19,670
2151,21,693
2152,19,510
2153,17,385
2154,19,378
2155,19,784
2156,24,552
2157,17,560
2158,18,540
2159,16,382
2160,15,488
2161,20,538
2162,18,262
2163,23,725
2164,20,518
2165,18,466
2166,22,746
2167,21,647
2168,19,1093
2169,20,596
2170,16,365
2171,15,164
2172,22,552
2173,25,670
2174,27,992
2175,20,774
2176,15,279
2177,19,430
2178,18,698
2179,14,281
2180,17,600
2181,20,458
2182,26,683
2183,24,648
2184,24,865
2185,24,811
2186,16,748
2187,29,634
2188,24,746
2189,25,425
2190,20,785
2191,23,690
2192,22,1088
2193,22,811
2194,21,564
2195,14,345
2196,27,1038
2197,23,667
2198,16,421
2199,23,557
2200,22,440
2201,27,890
2202,22,511
2203,24,919
2204,21,590
2205,16,880
2206,23,605
2207,26,667
2208,21,728
2209,14,417
2210,21,755
2211,24,788
2212,26,1271
2213,18,502
2214,20,227
2215,24,711
2216,14,381
2217,29,1102
2218,18,383
2219,25,1180
2220,21,702
2221,16,432
2222,13,350
2223,21,714
2224,18,596
2225,30,724
2226,23,655
2227,11,387
2228,19,333
2229,17,739
2230,24,575
2231,19,659
2232,18,323
2233,14,523
2234,24,871
2235,24,448
2236,29,906
2237,32,900
2238,20,733
2239,23,805
2240,18,504
2241,23,545
2242,20,454
2243,15,434
2244,29,945
2245,22,655
2246,19,628
2247,19,584
2248,20,465
2249,13,677
2250,16,445
2251,21,469
2252,17,332
2253,23,504
2254,20,383
2255,27,903
2256,21,621
2257,18,548
2258,22,697
2259,24,619
2260,19,486
2261,24,813
2262,20,459
2263,22,478
2264,19,452
2265,15,335
2266,23,798
2267,22,659
2268,23,642
2269,20,453
2270,21,704
2271,21,417
2272,26,725
2273,12,356
2274,24,407
2275,23,525
2276,22,851
2277,22,793
2278,20,564
2279,22,760
2280,25,1004
2281,21,665
2282,23,567
2283,23,567
2284,17,518
2285,29,678
2286,19,465
2287,26,920
2288,23,577
2289,24,438
2290,19,353
2291,22,628
2292,14,348
2293,13,389
2294,32,955
2295,23,796
2296,16,519
2297,32,1194
2298,17,255
2299,21,651
2300,22,697
2301,24,649
2302,20,317
2303,16,436
2304,16,332
2305,21,718
2306,28,790
2307,22,576
2308,28,1114
2309,22,573
2310,13,336
2311,12,356
2312,22,630
2313,12,349
2314,23,1095
2315,24,746
2316,19,404
2317,21,807
2318,18,591
2319,21,797
2320,14,636
2321,18,622
2322,18,451
2323,20,397
2324,18,438
2325,23,331
2326,21,786
2327,24,782
2328,23,836
2329,22,366
2330,16,671
2331,18,372
2332,23,616
2333,11,320
2334,14,371
2335,21,474
2336,26,660
2337,27,568
2338,23,560
2339,27,743
2340,29,1081
2341,27,741
2342,21,537
2343,19,541
2344,24,818
2345,33,716
2346,19,562
2347,18,411
2348,23,654
2349,22,531
2350,29,1308
2351,25,720
2352,18,519
2353,18,535
2354,16,419
2355,25,535
2356,26,757
2357,24,410
2358,23,727
2359,21,828
2360,25,864
2361,25,973
2362,20,432
2363,13,313
2364,20,458
2365,21,397
2366,18,509
2367,26,663
2368,22,643
2369,19,887
2370,15,381
2371,22,726
2372,22,498
2373,20,506
2374,20,717
2375,20,437
2376,19,473
2377,28,1092
2378,21,923
2379,16,662
2380,19,869
2381,21,786
2382,21,461
2383,22,674
2384,17,536
2385,22,732
2386,27,646
2387,31,994
2388,23,669
2389,17,594
2390,24,1049
2391,27,781
2392,23,723
2393,18,358
2394,26,987
2395,19,733
2396,29,722
2397,22,573
2398,27,867
2399,19,545
