Y_绘图序号_无量纲,X_开始时间_小时,X_结束时间_小时,类别_执行区域,类别_任务类型,类别_调度状态,标签_任务编号
441,2397,2400.383333333333,RegionE,AI训练,到达即执行,15916
442,2397,2403.516666666667,RegionE,AI训练,到达即执行,47435
443,2397,2400.1833333333334,RegionE,批量推理,到达即执行,2648
444,2397,2399.1,RegionE,批量推理,到达即执行,24255
445,2398,2401.7,RegionE,AI训练,到达即执行,4353
446,2398,2404.016666666667,RegionE,AI训练,到达即执行,19289
447,2398,2402.4,RegionE,AI训练,到达即执行,23421
448,2398,2402.266666666667,RegionE,批量推理,到达即执行,17938
449,2398,2399.3166666666666,RegionE,批量推理,到达即执行,22136
450,2399,2405.15,RegionE,AI训练,到达即执行,38894
451,2399,2403.05,RegionE,批量推理,到达即执行,15242
452,2399,2404.616666666667,RegionE,批量推理,到达即执行,44439
453,2399,2403.4166666666665,RegionE,实时推理,到达即执行,7890
454,2376,2377.633333333333,RegionF,AI训练,到达即执行,3809
455,2376,2379.2166666666667,RegionF,AI训练,到达即执行,35335
456,2376,2381.9333333333334,RegionF,AI训练,到达即执行,42169
457,2376,2381.6,RegionF,批量推理,到达即执行,29779
458,2377,2381.866666666667,RegionF,AI训练,到达即执行,1540
459,2377,2382.5833333333335,RegionF,AI训练,到达即执行,20392
460,2377,2383.516666666667,RegionF,AI训练,到达即执行,27509
461,2377,2381.1666666666665,RegionF,实时推理,到达即执行,22636
462,2378,2383.65,RegionF,AI训练,到达即执行,1055
463,2378,2381.883333333333,RegionF,AI训练,到达即执行,29425
464,2378,2381.483333333333,RegionF,AI训练,到达即执行,36260
465,2378,2380.016666666667,RegionF,批量推理,到达即执行,19684
466,2379,2379.9166666666665,RegionF,AI训练,到达即执行,9845
467,2379,2383.3,RegionF,批量推理,到达即执行,33741
468,2380,2384.95,RegionF,AI训练,到达即执行,6052
469,2380,2381.0833333333335,RegionF,AI训练,到达即执行,18713
470,2380,2382.25,RegionF,AI训练,到达即执行,45404
471,2380,2381.733333333333,RegionF,批量推理,到达即执行,24774
472,2381,2382.0666666666666,RegionF,AI训练,延期调整,26584
473,2382,2383.0833333333335,RegionF,AI训练,到达即执行,10704
474,2382,2382.866666666667,RegionF,AI训练,延期调整,18720
475,2382,2383.5333333333333,RegionF,AI训练,到达即执行,32894
476,2382,2384.633333333333,RegionF,AI训练,延期调整,47509
477,2382,2387.5,RegionF,实时推理,到达即执行,3948
478,2383,2385.1833333333334,RegionF,AI训练,到达即执行,30900
479,2383,2383.733333333333,RegionF,AI训练,到达即执行,34377
480,2383,2387.616666666667,RegionF,AI训练,到达即执行,45771
481,2384,2389.0,RegionF,AI训练,到达即执行,27109
482,2384,2388.983333333333,RegionF,AI训练,到达即执行,44983
483,2385,2388.45,RegionF,AI训练,到达即执行,18325
484,2385,2388.85,RegionF,AI训练,到达即执行,23514
485,2385,2389.9166666666665,RegionF,AI训练,到达即执行,26590
486,2385,2389.8,RegionF,AI训练,到达即执行,28388
487,2385,2387.1,RegionF,AI训练,到达即执行,35571
488,2385,2386.3166666666666,RegionF,AI训练,到达即执行,43153
489,2385,2390.0833333333335,RegionF,实时推理,到达即执行,36634
490,2386,2391.75,RegionF,AI训练,到达即执行,22852
491,2386,2388.2833333333333,RegionF,AI训练,到达即执行,22937
492,2386,2391.2833333333333,RegionF,批量推理,到达即执行,26788
493,2387,2388.5333333333333,RegionF,AI训练,到达即执行,27713
494,2387,2392.983333333333,RegionF,AI训练,到达即执行,36680
495,2387,2393.0666666666666,RegionF,AI训练,到达即执行,41737
496,2388,2392.7,RegionF,AI训练,到达即执行,1264
497,2388,2390.266666666667,RegionF,AI训练,到达即执行,17991
498,2388,2393.133333333333,RegionF,AI训练,到达即执行,21356
499,2388,2389.383333333333,RegionF,AI训练,到达即执行,35545
500,2389,2395.6,RegionF,AI训练,到达即执行,13747
501,2389,2394.3333333333335,RegionF,AI训练,延期调整,27293
502,2389,2391.9166666666665,RegionF,批量推理,到达即执行,16109
503,2390,2392.983333333333,RegionF,AI训练,到达即执行,15675
504,2390,2396.233333333333,RegionF,批量推理,到达即执行,30199
505,2391,2393.016666666667,RegionF,AI训练,到达即执行,31011
506,2391,2392.9666666666667,RegionF,批量推理,到达即执行,31688
507,2392,2394.733333333333,RegionF,AI训练,到达即执行,2517
508,2392,2393.766666666667,RegionF,AI训练,到达即执行,38208
509,2392,2397.2166666666667,RegionF,AI训练,到达即执行,47090
510,2392,2395.35,RegionF,实时推理,到达即执行,16024
511,2393,2394.7,RegionF,AI训练,到达即执行,16699
512,2393,2399.25,RegionF,AI训练,到达即执行,28664
513,2393,2396.233333333333,RegionF,批量推理,到达即执行,16345
514,2393,2394.233333333333,RegionF,批量推理,到达即执行,48651
515,2394,2400.616666666667,RegionF,AI训练,到达即执行,14619
516,2394,2394.516666666667,RegionF,AI训练,到达即执行,36863
517,2394,2395.7166666666667,RegionF,AI训练,到达即执行,41146
518,2394,2397.5666666666666,RegionF,AI训练,到达即执行,42018
519,2394,2400.65,RegionF,批量推理,到达即执行,37834
520,2395,2395.7,RegionF,AI训练,到达即执行,6767
521,2395,2399.1,RegionF,AI训练,到达即执行,7372
522,2395,2398.0833333333335,RegionF,AI训练,到达即执行,22576
523,2396,2402.45,RegionF,AI训练,到达即执行,14868
524,2396,2402.5,RegionF,AI训练,到达即执行,46184
525,2396,2398.2833333333333,RegionF,批量推理,到达即执行,10284
526,2397,2401.8166666666666,RegionF,AI训练,到达即执行,21730
527,2397,2400.2166666666667,RegionF,AI训练,到达即执行,49575
528,2397,2398.75,RegionF,批量推理,到达即执行,701
529,2397,2400.0333333333333,RegionF,批量推理,到达即执行,3928
530,2397,2400.4,RegionF,批量推理,到达即执行,20799
531,2398,2403.5,RegionF,AI训练,到达即执行,43423
532,2398,2398.5833333333335,RegionF,批量推理,到达即执行,11780
533,2398,2400.35,RegionF,批量推理,到达即执行,17421
534,2398,2401.3333333333335,RegionF,实时推理,到达即执行,4886
535,2399,2401.733333333333,RegionF,AI训练,到达即执行,1455
536,2399,2400.2833333333333,RegionF,AI训练,到达即执行,7857
537,2399,2401.5,RegionF,AI训练,到达即执行,48579
538,2399,2399.85,RegionF,实时推理,到达即执行,16844
